,Ticker,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change,Avg Vol (10 day),Avg Vol (3 month),Beta (3Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),Dividend Date,EBITDA,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Ex-Dividend Date,Fiscal Year Ends,Float,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Forward P/E,Gross Profit (ttm),Last Split Date,Last Split Factor (new per old),Levered Free Cash Flow (ttm),Market Cap (intraday),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm),PEG Ratio (5 yr expected),Payout Ratio,Price/Book (mrq),Price/Sales (ttm),Profit Margin,Quarterly Earnings Growth (yoy),Quarterly Revenue Growth (yoy),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change,Shares Outstanding,Shares Short,"Shares Short (Aug 31, 2018)","Shares Short (Nov 15, 2019)",Shares Short (prior month ),"Shares Short (prior month Jul 31, 2018)","Shares Short (prior month Oct 15, 2019)",Short % of Float,"Short % of Float (Aug 31, 2018)","Short % of Float (Nov 15, 2019)",Short % of Shares Outstanding,"Short % of Shares Outstanding (Aug 31, 2018)","Short % of Shares Outstanding (Nov 15, 2019)",Short Ratio,"Short Ratio (Aug 31, 2018)","Short Ratio (Nov 15, 2019)",Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,Trailing P/E,Symbol,Name,Sector
10,EL,0.011399999999999999,0.9184000000000001,187.06,1.16,189.7,207.5,121.47,0.2805,1170000.0,1600000.0,0.75,12.56,1.53,5.09,1.5764544e+18,3280000000.0,74190000000.0,22.62,4.87,1.5748128e+18,1.5618528e+18,220490000.0,1.92,0.0098,29.41,11500000000.0,1.3272768e+18,1/2,1530000000.0,70380000000.0,1.5698016e+18,1880000000.0,2470000000.0,0.17800000000000002,2.84,0.3379,15.57,4.62,0.1234,0.19,0.105,0.12119999999999999,0.42060000000000003,15230000000.0,42.06,0.12560000000000002,222550000.0,,,5200000.0,,,6390000.0,,,0.023799999999999998,,,0.014499999999999999,,,2.89,2260000000.0,6.29,6100000000.0,133.74,1.72,0.0088,38.44,EL,Estee Lauder Cos.,Consumer Staples
11,GIS,0.003,0.7117,53.08,3.48,52.19,56.4,36.42,0.2848,2029999.9999999998,3170000.0,0.69,12.22,0.62,3.1,1.580688e+18,3650000000.0,47310000000.0,12.97,2.82,1.578528e+18,1.5588288e+18,602800000.0,1.96,0.0368,15.55,5820000000.0,1.2760416e+18,1/2,1660000000.0,32320000000.0,1.5666912e+18,1880000000.0,2770000000.0,0.1807,2.31,0.6323,4.38,1.93,0.1121,0.327,-0.022000000000000002,0.0622,0.2461,16770000000.0,27.84,0.12560000000000002,604390000.0,,,18860000.0,,,19120000.0,,,0.0313,,,0.031200000000000002,,,6.24,504800000.0,0.83,14730000000.0,178.68,1.96,0.0368,17.25,GIS,General Mills,Consumer Staples
12,HRL,0.48210000000000003,0.4533,41.67,1.73,41.78,45.7,37.0,-0.0222,4550000.0,2210000.0,0.03,11.09,2.14,1.8,1.581984e+18,1320000000.0,23350000000.0,17.66,2.46,1.5786144e+18,1.5721344e+18,275470000.0,0.93,0.0209,24.69,1880000000.0,1.4550624e+18,1/2,503970000.0,24260000000.0,1.5721344e+18,978810000.0,923000000.0,0.1218,7.97,0.4667,4.1,2.55,0.10310000000000001,-0.023,-0.009000000000000001,0.08900000000000001,0.1698,9500000000.0,17.77,0.12560000000000002,533970000.0,,,39920000.0,,,38770000.0,,,0.1443,,,0.0748,,,23.72,687640000.0,1.29,250000000.0,4.22,0.84,0.0189,25.24,HRL,Hormel Foods Corp.,Consumer Staples
13,SJM,0.0453,0.8053,112.52,2.52,106.54,128.43,91.32,0.0177,1540000.0,803220.0,0.41,70.97,0.72,4.9,1.5752448e+18,1630000000.0,17960000000.0,11.05,2.35,1.5736896e+18,1.5565824e+18,109450000.0,3.52,0.0335,12.83,2920000000.0,1.0230624e+18,1/0,715490000.0,12060000000.0,1.57248e+18,558700000.0,1140000000.0,0.1544,10.05,0.7000000000000001,1.49,1.58,0.073,0.12,-0.032,0.0435,0.0693,7650000000.0,67.12,0.12560000000000002,114060000.0,,,7710000.0,,,6810000.0,,,0.0795,,,0.0676,,,10.82,48800000.0,0.43,6020000000.0,74.42,3.46,0.0329,21.56,SJM,JM Smucker,Consumer Staples
14,K,0.0069,0.8912000000000001,60.36,3.12,63.53,65.94,51.34,0.0317,1320000.0,1710000.0,0.53,7.99,0.8,2.12,1.5764544e+18,2060000000.0,30690000000.0,14.86,2.24,1.5749856e+18,1.5460416e+18,275860000.0,2.28,0.035,16.27,4830000000.0,8.724672e+17,1/2,1060000000.0,22310000000.0,1.5696288e+18,731000000.0,1540000000.0,0.1143,-16.91,1.0514000000000001,8.18,1.63,0.0535,-0.35000000000000003,-0.027999999999999997,0.054900000000000004,0.21530000000000002,13670000000.0,39.83,0.12560000000000002,341090000.0,,,18460000.0,,,16680000.0,,,0.0676,,,0.0541,,,10.14,453000000.0,1.33,8369999999.999999,254.59,2.25,0.0346,30.92,K,Kellogg Co.,Consumer Staples
15,KMB,0.004,0.7506999999999999,135.57,3.13,133.33,143.5,106.59,0.2045,1360000.0,1660000.0,0.52,-0.41,0.75,5.83,1.5780096e+18,3880000000.0,148230000000.0,38.23,8.04,1.575504e+18,1.5462144e+18,1020000000.0,4.12,0.0302,18.85,6140000000.0,1.4149728e+18,1000/1043,1450000000.0,46720000000.0,1.5698016e+18,2020000000.0,2760000000.0,0.1732,3.68,0.7015000000000001,,2.53,0.10960000000000002,0.488,0.013000000000000001,0.1348,20.62,18440000000.0,53.52,0.12560000000000002,342810000.0,,,8470000.0,,,7240000.0,,,0.024700000000000003,,,0.024700000000000003,,,5.19,416000000.0,0.41,8199999999.999999,9317.04,4.09,0.03,23.38,KMB,Kimberly-Clark,Consumer Staples
16,KHC,0.0012,0.8555,29.37,,30.36,51.69,24.86,-0.4068,5500000.0,7420000.0,1.04,42.32,1.0,-8.87,1.5761952e+18,6250000000.0,66360000000.0,10.62,2.62,1.5736896e+18,1.5460416e+18,643500000.0,1.6,0.0527,11.95,9120000000.0,,,2240000000.0,37790000000.0,1.5696288e+18,-10810000000.0,3690000000.0,0.20670000000000002,-1.61,,0.73,1.49,-0.4269,0.452,-0.048,0.0294,-0.18530000000000002,25330000000.0,20.77,0.12560000000000002,1220000000.0,,,13590000.0,,,18280000.0,,,0.021800000000000003,,,0.0111,,,1.7,2320000000.0,1.9,31290000000.0,60.4,1.83,0.059800000000000006,,KHC,Kraft Heinz Co,Consumer Staples
17,KR,0.006999999999999999,0.8452,24.05,1.61,25.9,30.4,20.7,-0.08130000000000001,4910000.0,8180000.0,0.56,10.86,0.76,2.01,1.5751584e+18,5150000000.0,41850000000.0,8.12,0.35,1.5736896e+18,1.5490656e+18,794900000.0,0.64,0.0234,11.91,27020000000.0,1.436832e+18,1/2,1170000000.0,22240000000.0,1.566e+18,1630000000.0,4179999999.9999995,0.0211,2.47,0.2745,2.55,0.18,0.013600000000000001,-0.41500000000000004,0.005,0.0392,0.20120000000000002,120850000000.0,151.25,0.12560000000000002,801620000.0,,,34020000.0,,,31360000.0,,,0.043,,,0.0424,,,4.33,629000000.0,0.79,20620000000.0,238.31,0.58,0.0212,13.81,KR,Kroger Co.,Consumer Staples
18,MKC,0.0007000000000000001,0.8948,160.37,1.74,162.72,171.1,119.0,0.11720000000000001,561860.0,684490.0,0.13,26.1,0.78,5.24,1.5788736e+18,1130000000.0,27000000000.0,23.91,4.97,1.577664e+18,1.543536e+18,130389999.99999999,2.48,0.0147,30.11,2370000000.0,1.0183104e+18,1/2,606250000.0,22490000000.0,1.5672096e+18,703300000.0,926800000.0,0.1814,3.75,0.42560000000000003,6.48,4.14,0.1294,0.106,0.008,0.059699999999999996,0.2134,5440000000.0,41.08,0.12560000000000002,123570000.0,,,7850000.0,,,8770000.0,,,,,,0.055400000000000005,,,12.15,162900000.0,1.23,4660000000.0,133.87,2.23,0.013200000000000002,32.29,MKC,McCormick & Co.,Consumer Staples
19,TAP,0.1169,0.8643000000000001,54.79,2.18,54.13,67.24,49.92,-0.2368,1430000.0,1630000.0,0.77,60.85,0.59,0.71,1.5761952e+18,2180000000.0,20340000000.0,9.33,1.93,1.5749856e+18,1.5462144e+18,188220000.0,2.28,0.0452,12.54,4190000000.0000005,1.191456e+18,1/2,923060000.0,10980000000.0,1.5698016e+18,154000000.0,1830000000.0,0.12890000000000001,-1.79,2.5352,0.83,1.04,0.0147,,-0.032,0.0286,0.0113,10510000000.0,48.55,0.12560000000000002,196250000.0,,,11250000.0,,,11300000.0,,,0.0616,,,0.052000000000000005,,,5.87,410200000.0,1.9,9590000000.0,71.5,1.8,0.0357,71.37,TAP,Molson Coors Brewing Company,Consumer Staples
20,MDLZ,0.0034000000000000002,0.787,53.93,1.77,52.69,56.72,38.78,0.1668,5350000.0,5670000.0,0.8,18.61,0.5,2.71,1.5710112e+18,5020000000.0,94490000000.0,18.81,3.67,1.5695424e+18,1.5462144e+18,1430000000.0,1.14,0.0217,19.94,10350000000.0,,,2440000000.0,76080000000.0,1.5698016e+18,3970000000.0,3940000000.0,0.1574,3.78,0.39299999999999996,2.84,2.96,0.1542,0.192,0.011000000000000001,0.0396,0.152,25730000000.0,17.76,0.12560000000000002,1440000000.0,,,10900000.0,,,10670000.0,,,0.0076,,,0.0076,,,1.8,1590000000.0,1.1,20360000000.0,75.75,1.07,0.0203,19.51,MDLZ,Mondelez International,Consumer Staples
21,MNST,0.2788,0.6731,60.1,,57.39,66.38,47.74,-0.003,1700000.0,2780000.0,1.16,7.6,3.31,1.99,,1470000000.0,30880000000.0,21.07,7.52,,1.5462144e+18,387030000.0,,,26.58,2300000000.0,1.478736e+18,1/3,910240000.0,32159999999.999996,1.5698016e+18,1090000000.0,1160000000.0,0.34159999999999996,2.5,0.0,7.87,7.83,0.2658,0.11599999999999999,0.11599999999999999,0.1753,0.2729,4110000000.0000005,7.53,0.12560000000000002,537680000.0,,,13000000.0,,,11280000.0,,,0.0333,,,0.0242,,,4.25,1300000000.0,2.43,23540000.0,0.57,,,30.07,MNST,Monster Beverage,Consumer Staples
22,PEP,0.002,0.7368000000000001,133.41,2.82,135.24,140.45,105.03,0.1416,3410000.0,3540000.0,0.57,10.12,0.95,8.79,1.5783552e+18,12790000000.0,217770000000.0,17.03,3.3,1.575504e+18,1.5460416e+18,1390000000.0,3.82,0.0281,22.8,35280000000.0,8.33328e+17,1/2,4970000000.0,189470000000.0,1.5678144e+18,12400000000.0,9750000000.0,0.1645,5.82,0.4303,13.43,2.87,0.18780000000000002,-0.159,0.043,0.08990000000000001,1.011,66050000000.0,47.07,0.12560000000000002,1390000000.0,,,10400000.0,,,10120000.0,,,0.0074,,,0.0075,,,3.39,5780000000.0,4.15,34049999999.999996,239.36,3.77,0.027700000000000002,15.46,PEP,PepsiCo Inc.,Consumer Staples
23,PM,0.0018,0.7469,80.02,4.7,82.35,92.74,64.67,-0.0477,5020000.0,5810000.0,1.03,-7.08,1.09,4.8,1.570752e+18,11670000000.0,156900000000.0,13.44,5.3,1.5692832e+18,1.5462144e+18,1550000000.0,4.68,0.0564,14.8,18870000000.0,,,6390000000.0,128509999999.99998,1.5698016e+18,7460000000.0,9190000000.0,0.3619,2.47,0.9562999999999999,,4.34,0.2527,-0.156,0.018000000000000002,0.16570000000000001,,29590000000.0,19.02,0.12560000000000002,1560000000.0,,,11450000.0,,,9440000.0,,,0.0074,,,0.0074,,,2.49,6510000000.0,4.18,32530000000.0,,4.59,0.0553,17.22,PM,Philip Morris International,Consumer Staples
24,PG,0.0008,0.6342,116.88,3.12,120.95,125.77,86.74,0.308,4890000.0,6620000.0,0.4,18.31,0.73,1.58,1.573776e+18,17960000000.0,328190000000.0,18.27,4.77,1.5712704e+18,1.5618528e+18,2490000000.0,2.98,0.0244,23.46,33439999999.999996,1.087776e+18,1/2,10590000000.0,306040000000.0,1.5698016e+18,4030000000.0000005,15840000000.0,0.2189,2.95,1.8638,6.7,4.45,0.062400000000000004,0.12300000000000001,0.066,0.081,0.08789999999999999,68790000000.0,27.45,0.12560000000000002,2490000000.0,,,21840000.0,,,22240000.0,,,0.0089,,,0.0088,,,3.03,9300000000.0,3.73,30410000000.0,64.72,2.93,0.024,77.67,PG,Procter & Gamble,Consumer Staples
25,SYY,0.0021,0.8170999999999999,75.1,2.46,79.96,81.9,59.44,0.20149999999999998,1620000.0,2490000.0,0.47,4.8,1.39,3.26,1.579824e+18,3400000000.0,50010000000.0,14.71,0.83,1.5779232e+18,1.5617664e+18,509100000.0,1.8,0.0223,19.52,11410000000.0,9.770976e+17,1/2,1480000000.0,41240000000.0,1.5696288e+18,1700000000.0,2310000000.0,0.0444,2.55,0.47850000000000004,16.82,0.68,0.0282,0.053,0.006,0.0892,0.6573000000000001,60200000000.0,116.89,0.12560000000000002,510230000.0,,,9590000.0,,,10860000.0,,,0.0197,,,0.0188,,,4.42,467500000.0,0.92,9350000000.0,375.82,1.56,0.0194,24.79,SYY,Sysco Corp.,Consumer Staples
26,CLX,0.0011,0.7948000000000001,153.84,2.52,147.92,167.54,143.58,-0.1032,901160.0,983550.0,0.37,4.38,0.87,6.29,1.5816384e+18,1270000000.0,21550000000.0,16.93,3.5,1.5801696e+18,1.5618528e+18,125190000.0,4.24,0.0286,22.98,2730000000.0,9.354528e+17,1/2,657880000.0,18690000000.0,1.5698016e+18,813000000.0,1000000000.0,0.1788,6.99,0.6264000000000001,33.98,3.04,0.132,-0.033,-0.036000000000000004,0.1316,1.3252000000000002,6160000000.0,48.39,0.12560000000000002,125500000.0,,,8210000.000000001,,,7900000.0,,,0.0747,,,0.0654,,,9.29,150000000.0,1.2,3100000000.0,563.27,4.04,0.0273,23.68,CLX,The Clorox Company,Consumer Staples
27,HSY,0.0043,0.7636000000000001,146.47,2.35,146.59,162.2,100.8,0.3601,1010000.0,1070000.0,0.06,8.38,0.8,6.06,1.5764544e+18,2060000000.0,35400000000.0,17.22,4.48,1.5742944e+18,1.5462144e+18,147470000.0,3.09,0.0209,24.18,3590000000.0,1.087344e+18,1/2,943740000.0,22090000000.0,1.5697152e+18,1280000000.0,1700000000.0,0.2232,2.96,0.485,17.78,2.79,0.1618,0.23399999999999999,0.026000000000000002,0.1353,0.8462000000000001,7910000000.0,37.7,0.12560000000000002,148310000.0,,,3070000.0,,,4190000.0000000005,,,0.020800000000000003,,,0.0147,,,2.99,302640000.0,1.45,4740000000.0,269.0,2.94,0.0198,24.58,HSY,The Hershey Company,Consumer Staples
28,TSN,0.0253,0.9029,83.67,1.27,84.67,94.11,49.77,0.4915,2170000.0,2570000.0,0.43,38.47,1.3,5.52,1.5840576e+18,3980000000.0,44420000000.0,11.17,1.05,1.5827616e+18,1.5696288e+18,290950000.0,1.68,0.0187,12.22,5090000000.0,8.56224e+17,2/3,458750000.0,32710000000.0,1.5696288e+18,2020000000.0,2510000000.0,0.06820000000000001,1.4,0.2717,2.33,0.77,0.0477,-0.313,0.08900000000000001,0.0581,0.15050000000000002,42400000000.0,116.82,0.12560000000000002,295180000.0,,,4010000.0,,,3740000.0,,,0.0161,,,0.011000000000000001,,,1.49,485000000.0,1.33,11930000000.0,83.87,1.5,0.0167,16.23,TSN,Tyson Foods,Consumer Staples
29,WMT,0.5202,0.3032,113.37,2.48,119.18,125.38,85.78,0.20600000000000002,4520000.0,5050000.0,0.41,25.2,0.81,5.0,1.5779232e+18,32360000000.0,412570000000.0,12.75,0.79,1.575504e+18,1.5488928e+18,1400000000.0,2.12,0.0178,22.85,129100000000.0,9.245664e+17,1/2,11220000000.0,339270000000.0,1.57248e+18,14430000000.0,24980000000.0,0.0412,4.6,0.4228,4.73,0.65,0.027700000000000002,0.923,0.025,0.0576,0.18660000000000002,521090000000.00006,181.86,0.12560000000000002,2840000000.0,,,16399999.999999998,,,17090000.0,,,0.011899999999999999,,,0.0058,,,3.17,8610000000.0,3.03,75950000000.0,96.99,2.11,0.0177,23.86,WMT,Wal-Mart Stores,Consumer Staples
30,WBA,0.16140000000000002,0.6644,54.4,2.11,58.35,86.31,49.03,-0.3045,4410000.0,5820000.0,0.87,26.26,0.73,4.31,1.5761088e+18,6580000000.0,70740000000.0,10.75,0.52,1.573776e+18,1.5672096e+18,743370000.0,1.83,0.030699999999999998,9.62,30080000000.0,9.191232e+17,1/2,2700000000.0,52900000000.0,1.5672096e+18,3980000000.0,5590000000.0,0.0352,4.41,0.41240000000000004,2.26,0.39,0.0291,-0.552,0.015,0.0444,0.1558,136870000000.0,148.52,0.12560000000000002,892540000.0,,,20350000.0,,,27990000.0,,,0.0255,,,0.022799999999999997,,,2.64,1020000000.0,1.15,17930000000.0,74.23,1.78,0.0298,13.75,WBA,Walgreens Boots Alliance,Consumer Staples
31,MO,0.0012,0.654,46.87,4.37,46.57,57.88,39.3,-0.1082,7210000.0,10610000.0,0.43,5.64,0.56,0.93,1.5706656e+18,10780000000.0,119280000000.0,11.07,6.03,1.5683328e+18,1.5462144e+18,1870000000.0,3.36,0.0676,11.4,12180000000.0,8.607168e+17,1/3,6030000000.0,94530000000.0,1.5698016e+18,1760000000.0,7100000000.0,0.5336,1.92,3.4838999999999998,8.96,4.78,0.0893,,0.023,0.1362,0.1348,19780000000.0,10.57,0.12560000000000002,1870000000.0,,,14160000.0,,,13280000.0,,,0.0076,,,0.0076,,,1.62,1600000000.0,0.86,27900000000.0,261.36,3.24,0.0652,54.41,MO,Altria Group Inc,Consumer Staples
32,AAP,0.0032,1.0153,155.02,0.17,162.9,182.56,130.09,-0.11699999999999999,784060.0,938070.0,0.84,50.17,1.3,6.17,1.5780096e+18,963470000.0,13430000000.0,13.94,1.38,1.5767136e+18,1.5460416e+18,68680000.0,0.24,0.0015,17.39,4230000000.0000005,1.1276928e+18,2/3,541310000.0,10840000000.0,1.5702336e+18,444430000.0,838070000.0,0.0752,1.31,0.038700000000000005,3.12,1.12,0.0458,0.068,0.016,0.0454,0.12490000000000001,9700000000.0,135.19,0.12560000000000002,69260000.0,,,2800000.0,,,3740000.0,,,0.0461,,,0.0405,,,2.71,573730000.0,8.33,3190000000.0,92.28,0.24,0.0015,25.36,AAP,Advance Auto Parts,Consumer Discretionary
